recipe_name,ingredients,preparation_time,cooking_time
Veg Pasta in Creamy Broccoli Sauce,"{'BROCCOLI': 200, 'ALMOND': 15, 'GARLIC': 5, 'PASTA': 200, 'SWEET CORN': 0.5, 'OIL': 2, 'MUSHROOM': 0.33, 'RED BELL PEPPER': 1, 'OREGANO': 1, 'SUGAR': 0, 'BLACK PEPPER POWDER': 0, 'LEMON JUICE': 0.5, 'NUTMEG': 0}",15.0,15.0
Soya Tikka,{'SOYA BADI': 0},45.0,17.0
Paneer Koliwada,"{'PANEER': '400-500 GRAMS', 'GREEN CHILLI': '4-5 NOS.', 'GINGER': '1 INCH', 'GARLIC': '3 CLOVES', 'WATER': 'AS REQUIRED', 'OIL': '2 TBSP', 'KASHMIRI RED CHILLI POWDER': '1.5 TBSP', 'SPICY RED CHILLI POWDER': '1 TSP', 'CUMIN POWDER': '1/2 TSP', 'CORIANDER POWDER': '1 TSP', 'CHAAT MASALA': 'A LARGE PINCH', 'DRY MANGO POWDER': '1 TSP', 'BLACK SALT': 'A LARGE PINCH', 'ASAFOETIDA': '1/4 TSP', 'BLACK PEPPER POWDER': 'A LARGE PINCH', 'CAROM SEEDS': '1/2 TSP', 'LEMON JUICE': 'OF A LEMON', 'SALT': 'TO TASTE', 'CURD': '2 TBSP', 'BAKING SODA': 'A LARGE PINCH', 'RED FOOD COLOUR': 'OPTIONAL', 'GRAM FLOUR': '1.5 TBSP', 'CORN FLOUR': '3-4 TBSP', 'MINT': '1 CUP', 'FRESH CORIANDER': '1/2 CUP', 'ONION': '1 SMALL', 'TOMATO': '1 SMALL', 'TAMARIND': '1 TSP', 'JAGGERY': '1 TSP', 'ICE CUBE': ''}",15.0,15.0
Sattu Ka Paratha,"{'WHEAT FLOUR': 2, 'CAROM SEEDS': 0.5, 'KALONJI': 'A LARGE PINCH', 'SALT': 'TO TASTE', 'WATER': 'AS REQUIRED', 'OIL': 1, 'CHANA SATTU': 1, 'GARLIC': 1, 'GREEN CHILLI': 2, 'GINGER': 1, 'BLACK PEPPER POWDER': 'A LARGE PINCH', 'LEMON JUICE': 1, 'MANGO PICKLE MASALA': 2, 'MUSTARD OIL': 2, 'ONION': 1, 'FRESH CORIANDER': 'A HANDFUL', 'GHEE': 'AS REQUIRED'}",10.0,20.0
Mutton Tawa Bhuna Masala,"{'MUTTON': 500, 'TOMATO': 1, 'CASHEW': 15, 'WATER': 0, 'OIL': 3, 'CUMINS SEEDS': 0, 'ONION': 5, 'GINGER GARLIC GREEN CHILLI PASTE': 4, 'FRESH CORIANDER STEMS': 0, 'TURMERIC POWDER': 0.25, 'KASHMIRI RED CHILLI POWDER': 1, 'SPICY RED CHILLI POWDER': 2, 'CORIANDER POWDER': 1, 'CUMIN POWDER': 1, 'GARAM MASALA': 0.5, 'HOT WATER': 0, 'CURD': 0.5, 'SALT': 0, 'GHEE': 1, 'GARLIC': 2, 'GREEN CHILLI': 2, 'GINGER': 0, 'ROASTED KASURI METHI POWDER': 0, 'BLACK PEPPER POWDER': 0, 'FRESH CORIANDER': 0}",20.0,90.0
Smoked Creamy Paneer Roll,"{'PANEER': '250-300 GRAMS', 'BUTTER': '1 TBSP', 'OIL': '1 TSP', 'SALT': 'TO TASTE', 'BLACK PEPPER POWDER': 'A PINCH', 'SUGAR': '1 TSP', 'MUSTARD SEEDS': '1/4 TSP', 'MAYONNAISE': '3/4 CUP', 'CURD': '1/2 CUP', 'VINEGAR': '1/4 TSP', 'GARLIC': '4 CLOVES', 'SUGAR MUSTARD POWDER': '1 TSP', 'LIVE CHARCOAL': '0', 'GHEE': '0', 'ONION': '2 LARGE SIZED'}",15.0,25.0
Sattu ka Sharbat,"{'SATTU': 1, 'SALT': 0, 'BLACK SALT': 1, 'CUMIN POWDER': 1, 'ONION': 1, 'GREEN CHILLI': 2, 'FRESH CORIANDER': 0, 'LEMON JUICE': 1, 'WATER': 0}",0.0,0.0
Chicken Satay,"{'CHICKEN': '500g', 'KASHMIRI RED CHILLI': '2', 'SPICY RED CHILLI': '6', 'LEMONGRASS': '2', 'GALANGAL': '2', 'SHALLOTS': '6-7', 'GARLIC': '3', 'WATER': '0', 'SALT': '0', 'CORIANDER POWDER': '1', 'TURMERIC POWDER': '0.5', 'CUMIN POWDER': '0.25', 'WHITE PEPPER POWDER': '0.25', 'LIGHT BROWN SUGAR': '1', 'LIGHT SOY SAUCE': '0.5', 'RED PASTE': '1', 'COCONUT MILK': '4', 'OIL': '1-2', 'PEANUT': '0.5', 'TAMARIND PULP': '2'}",15.0,40.0
Cheeseburst Garlic Bread,"{'BUTTER': 200, 'GARLIC': 35, 'FRESH CORIANDER': 2, 'GREEN CHILLI': 2, 'OILIVE OIL': 0, 'GARLIC CONFIT': 5, 'PROCESSED CHEESE': 150, 'MILK': 120, 'BREAD LOAF': 0, 'MOZZARELLA CHEESE': 0, 'OREGANO': 0, 'RED CHILLI FLAKES': 0, 'WATER': 0}",10.0,30.0
Chicken Butter Masala,"{'CHICKEN': '400-500 GRAMS', 'SALT': 'TO TASTE', 'LEMON JUICE': 'OF 1/2 A LEMON', 'GINGER GARLIC GREEN CHILLI PASTE': '1 TBSP', 'CURD': '2 TBSP', 'TURMERIC POWDER': '1/4 TSP', 'KASHMIRI RED CHILLI POWDER': '2 TSP', 'GARAM MASALA': 'A PINCH', 'OIL': '1 TSP', 'TOMATO': '4 NOS.', 'GARLIC': '10-12 CLOVES', 'GINGER': '2 INCH', 'GREEN CHILLI': '1 NO.', 'CORIANDER STEMS': 'A HANDFUL', 'CASHEW': '10 NOS.', 'CORIANDER POWDER': '1 TSP', 'CUMIN POWDER': '1/2 TSP', 'ONION': '3 NOS.', 'BUTTER': '2-3 TBSP', 'CUMIN SEEDS': '1/2 TSP', 'CINNAMON': '1 SMALL PIECE.', 'GREEN CARDAMOM': '2 NOS.', 'HOT WATER': 'A SPLASH', 'SUGAR': 'A PINCH', 'FRESH CREAM': '2 TBSP', 'ROASTED KASURI METHI POWDER': 'A LARGE PINCH', 'FRESH CORIANDER': 'A HANDFUL'}",15.0,40.0
Kanda Bateta Tameta nu Shaak / Gujarati Rasse Waale Aloo,"{'POTATO': 4, 'TOMATO': 2, 'ONION': 1, 'GROUNDNUT OIL': '2-3 TBSP', 'MUSTARD SEEDS': '1/2 TSP', 'CUMIN SEEDS': 'A PINCH', 'ASAFOETIDA': '1/4 TSP', 'GINGER GARLIC GREEN CHILLI PASTE': '1 TBSP', 'SALT': 'TO TASTE', 'TURMERIC POWDER': '1/4 TSP', 'SPICY RED CHILLI POWDER': '1 TSP', 'CORIANDER POWDER': '1 TSP', 'CUMIN POWDER': '1/2 TSP', 'WATER': 'AS REQUIRED', 'SUGAR': 'A PINCH', 'GARAM MASALA': 'A PINCH', 'FRESH CORIANDER': 'A HANDFUL'}",10.0,15.0
Raw Mango Rasam,"{'RAW MANGO': 1, 'GREEN CHILLI': 3, 'WATER': 'AS REQUIRED', 'GROUNDNUT OIL': 1, 'MUSTARD SEEDS': 1, 'CUMIN SEEDS': 1, 'RED CHILLI': 3, 'CURRY LEAVES': '8-10', 'ASAFOETIDA': 0.25, 'TURMERIC POWDER': 0.5, 'HOT WATER': 'AS REQUIRED', 'SALT': 'TO TASTE', 'JAGGERY': 'TO TASTE', 'FRESH CORIANDER': 'A HANDFUL (CHOPPED)'}",5.0,25.0
Bachelor’s Egg Biryani,"{'BASMATI RICE': 1, 'WATER': 0, 'ONION': 3, 'GREEN CHILLI': 3, 'GARLIC': 15, 'GINGER': 2, 'OIL': 3, 'TOMATO': 1, 'SALT': 0, 'CURD': 0.5, 'BIRYANI MASALA': 1, 'EGGS': 4, 'HOT WATER': 0, 'FRESH CORIANDER': 0, 'MINT': 0, 'GHEE': 1}",10.0,30.0
Tari Waale Chane,"{'BLACK CHICKPEAS': 1, 'ONION': 3, 'GARLIC': 15, 'GINGER': 2, 'GREEN CHILLI': 3, 'TOMATO': 3, 'SALT': 0, 'BLACK SALT': 0.5, 'TURMERIC POWDER': 0.5, 'KASHMIRI RED CHILLI POWDER': 1, 'SPICY RED CHILLI POWDER': 1, 'CUMIN POWDER': 0.5, 'CORIANDER POWDER': 1, 'WATER': 0, 'GHEE': 2, 'ASAFOETIDA': 0.25, 'HOT WATER': 0, 'GARAM MASALA': 0, 'ROASTED KASURI METHI POWDER': 0, 'FRESH CORIANDER': 0}",10.0,25.0
Eggless Churros,"{'CASTER SUGAR': 0.25, 'CINNAMON POWDER': 0.5, 'WATER': 1, 'BUTTER': 30, 'SUGAR': 1, 'VAILLA ESSENCE': 0.5, 'REFINED FLOUR': 1, 'CHOCOLATE SPREAD': 0}",10.0,25.0
Lauki Chana Dal,"{'CHANA DAL': '3/4 CUP', 'GHEE': '2 TBSP', 'CUMIN SEEDS': '1/2 TSP', 'ONION': '2 NOS.', 'GINGER GARLIC GREEN CHILLI PASTE': '1 TBSP', 'TOMATO': '2 NOS.', 'SALT': 'TO TASTE', 'TURMERIC POWDER': '1/4 TSP', 'RED CHILLI POWDER': '1 TSP', 'BOTTLE GOURD': '1 MEDIUM SIZED', 'WATER': 'AS REQUIRED', 'DRY MANGO POWDER': 'TO TASTE', 'GARAM MASALA': 'A PINCH', 'ROASTED KASURI METHI POWDER': 'A PINCH', 'FRESH CORIANDER': 'A HANDFUL'}",5.0,15.0
Soya Matar Pulao,"{'SOYA CHUNKS': 2, 'BASMATI RICE': 2, 'GHEE': 2, 'CUMIN SEEDS': 0.5, 'GREEN CARDAMOM': 3, 'BLACK CARDAMOM': 1, 'CINNAMON': 1, 'CLOVES': 5, 'BLACK PEPPERCORNS': 5, 'BAY LEAF': 2, 'ONION': 2, 'GINGER GARLIC GREEN CHILLI PASTE': 1, 'TOMATO': 1, 'CURD': 1, 'TURMERIC POWDER': 0.25, 'KASHMIRI RED CHILLI POWDER': 1, 'SPICY RED CHILLI POWDER': 1, 'CORIANDER POWDER': 1, 'BIRYANI MASALA': 1, 'GREEN PEAS': 1, 'FRESH CORIANDER': 0, 'MINT': 0, 'KASURI METHI': 1, 'SALT': 0}",20.0,35.0
Dhaba Style Gatte Ki Sabzi,"{'WATER': 'AS REQUIRED', 'CUMIN SEEDS': '1 TSP', 'FENNEL SEEDS': '1 TSP', 'CORIANDER SEEDS': '1 TSP', 'GRAM FLOUR': '1.5 CUPS', 'ASAFOETIDA': '1/4 TSP', 'KASURI METHI': '2 TSP', 'CAROM SEEDS': '1/2 TSP', 'TURMERIC POWDER': '1/4 TSP', 'RED CHILLI POWDER': '1/2 TSP', 'SALT': 'TO TASTE', 'GHEE': '1 TBSP', 'CURD': '2 TBSP', 'OIL': '0', 'GINGER': '1 INCH', 'GREEN CHILLI': '2-3 NOS.'}",15.0,30.0
Karela Aloo,"{'BITTER GOURD': 12, 'SALT': 0, 'POTATO': 2, 'ONION': 2, 'MUSTARD OIL': 3, 'DRY MANGO POWDER': 1, 'CUMIN POWDER': 0.5, 'CORIANDER POWDER': 2, 'TURMERIC POWDER': 0.25, 'RED CHILLI POWDER': 1, 'GARAM MASALA': 0}",10.0,30.0
Bengali Tok Dal,"{'MASOOR DAL': 1, 'WATER': 0, 'GREEN CHILLI': 1, 'SALT': 0, 'MUSTARD OIL': 2, 'MUSTARD SEEDS': 0.5, 'RADHUNI': 0, 'KALONJI': 0, 'FENNEL SEEDS': 0, 'FENUGREEK SEEDS': 4, 'CUMIN SEEDS': 0.5, 'RED CHILLI': 1, 'RAW MANGO': 1, 'TURMERIC POWDER': 0.25, 'HOT WATER': 0, 'SUGAR': 0}",10.0,15.0
Soy Basil Paneer Chilli,"{'PANEER': 300, 'CORN FLOUR': 5, 'OIL': 2, 'GINGER': 1, 'GARLIC': 2, 'GREEN CHILLI': 4, 'SPRING ONION WHITES': 3, 'CAPSICUM': 0.5, 'RED BELL PEPPER': 0.5, 'ONION': 0.5, 'SUGAR': 0, 'DARK SOY SAUCE': 1, 'LIGHT SOY SAUCE': 1, 'WHITE PEPPER POWDER': 0, 'VINEGAR': 0, 'SALT': 0, 'HOT WATER': 0, 'BASIL': 0, 'SPRING ONION GREENS': 0}",15.0,20.0
Dal Dhokli,"{'TOOR DAL': 1, 'WATER': 3, 'TURMERIC POWDER': 0.25, 'PEANUTS': 2}",0.0,0.0
Rasmalai,"{'MILK': '2 LITRE', 'ALMOND': '7-8 NOS', 'PISTACHIO': '7-8', 'CARDAMOM POWDER': '1/2 TSP', 'SAFFRON': 'A PINCH', 'SUGAR': '1.5 CUPS', 'WATER': '8 CUPS', 'VINEGAR': '2 TBSP', 'REFINED FLOUR': '1 TSP', 'ICE COLD WATER': '0'}",15.0,60.0
Aam ka Murabba,"{'RAJAPURI MANGO': 1000, 'SALT': 0, 'TURMERIC POWDER': 0.5, 'SUGAR': 800, 'WATER': 0, 'LEMON JUICE': 1, 'CINNAMON STICK': 4, 'CLOVES': 4, 'GREEN CARDAMOM': 4, 'SAFFRON': 0, 'ALMOND': 7, 'CASHEW': 7}",10.0,25.0
Sindhi Koki,"{'WHEAT FLOUR': 3, 'GHEE': 3, 'SALT': 'TO TASTE', 'CAROM SEEDS': 0.5, 'ANARDANA POWDER': 2, 'GREEN CHILLI': 3, 'ONION': 1, 'CUMIN SEEDS': 1, 'BLACK PEPPER POWDER': 'A PINCH', 'FRESH CORIANDER': 'A HANDFUL', 'WATER': 0.75, 'WHEAT FLOUR (FOR DUSTING)': 0, 'GHEE (FOR COOKING)': 0}",10.0,20.0
Mango Pulissery,"{'MANGO': 4, 'CURRY LEAVES': 2, 'GREEN CHILLI': 3, 'JAGGERY': 2, 'SALT': 0, 'RED CHILLI POWDER': 0.5, 'TURMERIC POWDER': 0.5, 'WATER': 0, 'FRESH COCONUT': 1, 'CUMIN SEEDS': 1, 'CURD': 1, 'COCONUT OIL': 2, 'MUSTARD SEEDS': 1, 'FENUGREEK SEEDS': 0.25, 'RED CHILLI': 3.5, 'ASAFOETIDA': 0.25, 'HOT WATER': 0}",15.0,15.0
Vrat Ka Dosa (Instant),"{'SABUDANA': '¼ CUP', 'SAMA RICE': '½ CUP', 'POTATO': '1 NO.', 'GREEN CHILLI': '2-3 NOS.', 'GINGER': '2 INCH', 'CURD': '2 TBSP', 'SENDHA NAMAK': 'TO TASTE', 'WATER': '1.5 CUPS', 'CUMIN SEEDS': 'A PINCH', 'BLACK PEPPER POWDER': 'A PINCH', 'FRESH CORIANDER': 'A HANDFUL', 'GHEE': 'AS REQUIRED'}",20.0,20.0
Bisibele bath,"{'TOOR DAL': '3/4 CUP', 'SONA MASURI': '1 CUP', 'CARROT': '2 MEDIUM SIZED', 'FRENCH BEANS': '15 NOS', 'POTATO': '2 SMALL SIZED', 'TURMERIC POWDER': '1/4 TSP', 'OIL': '1 TSP', 'GHEE': '2 TBSP', 'CASHEW': '2 TBSP', 'PEANUTS': '2 TBSP', 'MUSTARD SEEDS': '1 TSP', 'RED CHILLI': '2-3 NOS', 'CURRY LEAVES': '8-10 NOS', 'ASAFOETIDA': '1/4 TSP', 'TOMATO': '1 NO', 'GREEN PEAS': '1/3 CUP', 'SALT': 'TO TASTE', 'CAPSICUM': '1 NO', 'TAMARIND': 'LEMON SIZED BALL', 'JAGGERY': '2 TBSP', 'HOT WATER': 'AS REQUIRED', 'BISI BELE BATH POWDER': '4 TBSP', 'FRESH CORIANDER': 'A HANDFUL'}",10.0,20.0
Kanji Vada,"{'WATER': 2, 'BLACK MUSTARD SEEDS': 2, 'BLACK SALT': 0.5, 'ASAFOETIDA': 0.25, 'BLACK PEPPERCORNS': 0.25, 'ROASTED CUMIN SEEDS': 1, 'RED CHILLI POWDER': 0.5, 'TURMERIC POWDER': 0.25, 'SALT': 0.5, 'CURD': 2, 'LIVE CHARCOAL': 0, 'MUSTARD OIL': 0, 'YELLOW MOONG DAL': 0.75, 'URAD DAL': 0.25, 'GREEN CHILLI': 2, 'GINGER': 1, 'CORIANDER SEEDS': 1, 'FENNEL SEEDS': 0.5, 'FRESH CORIANDER': 0}",20.0,25.0
Chicken Cheese Chutney Kabab,"{'ONION': 1, 'CHICKEN': 500, 'GINGER': 2, 'GARLIC': 3, 'GREEN CHILLI': 2, 'FRESH CORIANDER': 1, 'MINT': 0.5, 'SALT': 0, 'BLACK SALT': 0, 'DRY MANGO POWDER': 1, 'CORIANDER POWDER': 2, 'SPICY RED CHILLI POWDER': 1, 'CUMIN POWDER': 0, 'GARAM MASALA': 0, 'BLACK PEPPERCORNS': 1, 'LEMON JUICE': 0.5, 'WATER': 0, 'ICE CUBE': 0, 'PANKO BREAD CRUMBS': 0, 'EGG': 2, 'CHEESE SLICES': 0}",15.0,35.0
Dal Baati Churma,"{'TOMATOES': 2, 'ONIONS': 1, 'CHANA DAL': 1, 'MOTH DAL': 1, 'RICE': 1, 'WHEAT FLOUR': 2, 'GHEE': 100, 'SUGAR': 1}",45.0,60.0
Chicken Biryani,"{'CHICKEN': '500g', 'ONIONS': '2', 'TOMATOES': '2', 'RICE': '2 cups', 'YOGURT': '1 cup', 'GINGER-GARLIC PASTE': '2 tbsp'}",30.0,45.0
Diljit Dosanjh cooking,{},0.0,0.0
Creamy Mushroom with Lemon Coriander Rice,"{'BUTTER': 2, 'OIL': 1, 'OREGANO': 'A LARGE PINCH', 'RED CHILLI FLAKES': 'A LARGE PINCH', 'GARLIC': 1, 'ONION': 1, 'FRESH CORIANDER': 3, 'COOKED RICE': 4, 'LEMON ZEST': 'OF A LEMON', 'LEMON JUICE': 'OF A LEMON', 'SALT': 'TO TASTE', 'OLIVE OIL': 1, 'GREEN CHILLI': 2, 'MUSHROOM': 250, 'REFINED FLOUR': 2, 'MILK': 500, 'BLACK PEPPERCORNS': 'A PINCH'}",15.0,25.0
Chicken Tawa Fry,"{'GARLIC': 20, 'GINGER': 2, 'GREEN CHILLI': 4, 'FRESH CORIANDER': 0, 'WATER': 0, 'CHICKEN': 500, 'SALT': 0, 'TURMERIC POWDER': 0, 'GREEN PASTE': 1, 'OIL': 2, 'ONION': 2, 'HOT WATER': 0, 'KASHMIRI RED CHILLI POWDER': 1, 'AGRI MASALA': 1.5, 'TOMATO': 1, 'KOKUM AGAL': 2, 'GHEE': 1, 'PAV': 0}",15.0,25.0
Dal Baati Churma,"{'MOONG DAL': '1 cup', 'CHANA DAL': '1/2 cup', 'WHEAT FLOUR': '2 cups', 'GHEE': '1/2 cup', 'SUGAR': '1 cup', 'DATES': '1/2 cup', 'ALMONDS': '1/4 cup', 'CARDAMOM': '4-5', 'WATER': 'As needed'}",45.0,60.0
Misal Pav,{},0.0,0.0
Thandai Kulfi,"{'ALMOND': 4, 'PISTA': 3, 'BLACK PEPPERCORNS': 1, 'FENNEL SEEDS': 1, 'GREEN CARDAMOM': 8, 'MELON SEEDS': 2, 'POPPY SEEDS': 2, 'SAFFRON': 0, 'DRY ROSE PETALS': 2, 'GINGER POWDER': 1, 'NUTMEG': 0.25, 'MILK': 2000, 'THANDAI MASALA': 6, 'SUGAR': 6}",10.0,55.0
Rajma Chawal,"{'RAJMA': '2 cups', 'RICE': '1 cup'}",30.0,45.0
,,,
Quick Egg Triple Schezwan Fried Rice,"{'CARROT': 2, 'CAPSICUM': 2, 'FRENCH BEANS': 12, 'SPRING ONION': 3, 'GARLIC': 20, 'GINGER': 2, 'GREEN CHILLI': 4, 'OIL': 1, 'EGG': 2, 'SCHEZWAN SAUCE': 2, 'KETCHUP': 1, 'RED CHILLI SAUCE': 1, 'LIGHT SOY SAUCE': 0, 'VINEGAR': 0, 'COOKED RICE': 4, 'SUGAR': 0, 'WHITE PEPPER POWDER': 0, 'SALT': 0, 'SPRING ONION GREENS': 0, 'HOT WATER': 0, 'CORN FLOUR': 1, 'WATER': 2, 'SPRNG ONION GREENS': 0}",15.0,30.0
Dal Fry Tadka,"{'YELLOW MOONG DAL': '3/4 CUP', 'WATER': 'AS REQUIRED', 'OIL': '1/2 CUP - 3/4 CUP', 'ONION': '2 NOS. (SLICED)', 'TURMERIC POWDER': '1/4 TSP', 'GHEE': '3 TBSP', 'GINGER': '2 INCH (JULIENNE)', 'HOT WATER': 'AS REQUIRED', 'CUMIN SEEDS': '1 TSP', 'CURRY LEAVES': '5-6 NOS.', 'GREEN CHILLI': '4 NOS. (CHOPPED)', 'ASAFOETIDA': '1/4 TSP', 'SALT': 'TO TASTE', 'BUTTER': '2 TBSP', 'DEGI RED CHILLI POWDER': '1/2 TSP'}",15.0,40.0
Punjabi Dum Aloo,"{'POTATO': 15, 'GHEE': 2, 'OIL': 1, 'ONION': 3, 'GINGER GARLIC GREEN CHILLI PASTE': 2, 'TURMERIC POWDER': 0.25, 'KASHMIRI RED CHILLI POWDER': 1, 'SPICY RED CHILLI POWDER': 1, 'CORIANDER POWDER': 1, 'TOMATO': 2, 'CURD': 0.5, 'HOT WATER': 250}",15.0,35.0
Chicken Tikka Masala,"{'CHICKEN': '500g', 'ONION': '2', 'TOMATOES': '4', 'GINGER': '1 tbsp', 'GARLIC': '2 cloves', 'YOGURT': '1 cup', 'CREAM': '1/2 cup'}",30.0,30.0
Veg Keema Masala,"{'CAULIFLOWER': 0.5, 'GREEN PEAS': 0.33, 'CARROT': 2, 'CAPSICUM': 1, 'FRENCH BEANS': 12, 'GHEE': 2, 'CUMIN SEEDS': 0.5, 'ONION': 4, 'GINGER GARLIC GREEN CHILLI PASTE': 2, 'TURMERIC POWDER': 0.25, 'KASHMIRI RED CHILLI POWDER': 1.5, 'SPICY RED CHILLI POWDER': 1, 'CORIANDER POWDER': 1, 'GARAM MASALA': 0.5, 'TOMATO PUREE': 3, 'CASHEW PASTE': 15, 'ROASTED KASURI METHI POWDER': 0, 'GINGER': 1, 'GREEN CHILLI': 2, 'FRESH CORIANDER': 0}",20.0,50.0
Garlic Chutney,"{'KASHMIRI RED CHILLI': 18, 'GARLIC': 0.75, 'GINGER': 2, 'OIL': 5, 'CUMIN SEEDS': 1, 'LEMON JUICE': 0.5}",0.0,0.0
